t p_lowerST2 p_upperST2 p_lowerST3 p_upperST3 p_lowerST4 p_upperST4 p_lowerST0 p_upperST0
0.000000010000000 0.044318383229891 0.060992493321439 0.043993706968278 0.080152323995601 0.001457177756340 0.984821855945550 0.044321478630482 0.060801509630343
0.000000010092529 0.044309336196500 0.060968248781497 0.043985630050193 0.080119612932418 0.001458036222840 0.984813793280837 0.044312421729559 0.060777353048125
0.000000010185914 0.044300204330012 0.060943798223655 0.043977477034232 0.080086621099534 0.001458902791162 0.984805655063416 0.044303279906874 0.060752991222399
0.000000010280163 0.044290986830432 0.060919140060267 0.043969247196567 0.080053346284401 0.001459777538989 0.984797440578647 0.044294052361663 0.060728422571949
0.000000010375284 0.044281682890236 0.060894272694338 0.043960939806457 0.080019786260589 0.001460660544766 0.984789149105047 0.044284738285626 0.060703645506263
0.000000010471285 0.044272291694309 0.060869194519521 0.043952554126185 0.079985938787751 0.001461551887709 0.984780779914225 0.044275336862867 0.060678658425520
0.000000010568175 0.044262812419873 0.060843903920125 0.043944089410994 0.079951801611611 0.001462451647812 0.984772332270813 0.044265847269819 0.060653459720598
0.000000010665961 0.044253244236418 0.060818399271114 0.043935544909021 0.079917372463954 0.001463359905854 0.984763805432402 0.044256268675179 0.060628047773080
0.000000010764652 0.044243586305636 0.060792678938101 0.043926919861230 0.079882649062595 0.001464276743410 0.984755198649472 0.044246600239835 0.060602420955242
0.000000010864256 0.044233837781346 0.060766741277354 0.043918213501351 0.079847629111367 0.001465202242857 0.984746511165324 0.044236841116802 0.060576577630066
0.000000010964782 0.044223997809430 0.060740584635806 0.043909425055809 0.079812310300113 0.001466136487379 0.984737742216012 0.044226990451146 0.060550516151243
0.000000011066238 0.044214065527757 0.060714207351051 0.043900553743660 0.079776690304671 0.001467079560982 0.984728891030272 0.044217047379918 0.060524234863173
0.000000011168632 0.044204040066114 0.060687607751358 0.043891598776519 0.079740766786857 0.001468031548498 0.984719956829452 0.044207011032076 0.060497732100976
0.000000011271975 0.044193920546133 0.060660784155673 0.043882559358500 0.079704537394467 0.001468992535591 0.984710938827442 0.044196880528424 0.060471006190503
0.000000011376273 0.044183706081223 0.060633734873638 0.043873434686140 0.079667999761263 0.001469962608771 0.984701836230602 0.044186654981526 0.060444055448339
0.000000011481536 0.044173395776491 0.060606458205588 0.043864223948336 0.079631151506966 0.001470941855399 0.984692648237688 0.044176333495648 0.060416878181818
0.000000011587774 0.044162988728675 0.060578952442576 0.043854926326269 0.079593990237261 0.001471930363696 0.984683374039780 0.044165915166671 0.060389472689037
0.000000011694994 0.044152484026064 0.060551215866372 0.043845540993344 0.079556513543776 0.001472928222754 0.984674012820212 0.044155399082029 0.060361837258858
0.000000011803206 0.044141880748431 0.060523246749506 0.043836067115109 0.079518719004114 0.001473935522539 0.984664563754491 0.044144784320626 0.060333970170950
0.000000011912420 0.044131177966953 0.060495043355242 0.043826503849192 0.079480604181815 0.001474952353907 0.984655026010227 0.044134069952769 0.060305869695766
0.000000012022644 0.044120374744138 0.060466603937640 0.043816850345226 0.079442166626393 0.001475978808608 0.984645398747057 0.044123255040086 0.060277534094602
0.000000012133889 0.044109470133750 0.060437926741548 0.043807105744779 0.079403403873330 0.001477014979298 0.984635681116567 0.044112338635455 0.060248961619594
0.000000012246162 0.044098463180734 0.060409010002629 0.043797269181282 0.079364313444074 0.001478060959544 0.984625872262215 0.044101319782927 0.060220150513737
0.000000012359474 0.044087352921135 0.060379851947388 0.043787339779954 0.079324892846059 0.001479116843838 0.984615971319258 0.044090197517649 0.060191099010919
0.000000012473835 0.044076138382027 0.060350450793195 0.043777316657732 0.079285139572719 0.001480182727605 0.984605977414664 0.044078970865788 0.060161805335943
0.000000012589254 0.044064818581433 0.060320804748314 0.043767198923196 0.079245051103495 0.001481258707209 0.984595889667045 0.044067638844454 0.060132267704551
0.000000012705741 0.044053392528247 0.060290912011923 0.043756985676494 0.079204624903854 0.001482344879967 0.984585707186566 0.044056200461620 0.060102484323454
0.000000012823306 0.044041859222157 0.060260770774154 0.043746676009270 0.079163858425311 0.001483441344155 0.984575429074875 0.044044654716046 0.060072453390360
0.000000012941958 0.044030217653566 0.060230379216114 0.043736269004587 0.079122749105440 0.001484548199021 0.984565054425012 0.044033000597202 0.060042173094008
0.000000013061709 0.044018466803512 0.060199735509924 0.043725763736853 0.079081294367903 0.001485665544791 0.984554582321335 0.044021237085184 0.060011641614194
0.000000013182567 0.044006605643591 0.060168837818758 0.043715159271746 0.079039491622478 0.001486793482683 0.984544011839433 0.044009363150641 0.059980857121819
0.000000013304544 0.043994633135875 0.060137684296870 0.043704454666133 0.078997338265082 0.001487932114913 0.984533342046045 0.043997377754688 0.059949817778914
0.000000013427650 0.043982548232835 0.060106273089643 0.043693648968000 0.078954831677803 0.001489081544708 0.984522571998974 0.043985279848832 0.059918521738687
0.000000013551894 0.043970349877255 0.060074602333620 0.043682741216372 0.078911969228932 0.001490241876313 0.984511700747007 0.043973068374890 0.059886967145559
0.000000013677288 0.043958037002157 0.060042670156556 0.043671730441233 0.078868748272997 0.001491413215007 0.984500727329822 0.043960742264904 0.059855152135206
0.000000013803843 0.043945608530715 0.060010474677459 0.043660615663453 0.078825166150804 0.001492595667104 0.984489650777908 0.043948300441067 0.059823074834613
0.000000013931568 0.043933063376178 0.059978014006632 0.043649395894707 0.078781220189473 0.001493789339974 0.984478470112477 0.043935741815633 0.059790733362110
0.000000014060475 0.043920400441783 0.059945286245721 0.043638070137395 0.078736907702482 0.001494994342046 0.984467184345375 0.043923065290841 0.059758125827413
