t p_lowerST2 p_upperST2 p_lowerST3 p_upperST3 p_lowerST4 p_upperST4 p_lowerST0 p_upperST0
0.000000010000000 0.044318383229891 0.060992493321439 0.004735501006081 0.005747215320213 0.034187211369684 0.880469880344016 0.000312112451727 0.001035784619201
0.000000010092529 0.044309336196500 0.060968248781497 0.004733861249440 0.005743214103165 0.034194429470591 0.880443299166101 0.000312062979337 0.001033869789218
0.000000010185914 0.044300204330012 0.060943798223655 0.004732206447229 0.005739181713689 0.034201710624590 0.880416482148968 0.000312012952596 0.001031941987067
0.000000010280163 0.044290986830432 0.060919140060267 0.004730536463237 0.005735117958902 0.034209055346059 0.880389427298176 0.000311962364689 0.001030001168682
0.000000010375284 0.044281682890236 0.060894272694338 0.004728851160065 0.005731022645575 0.034216464152867 0.880362132604307 0.000311911208706 0.001028047290690
0.000000010471285 0.044272291694309 0.060869194519521 0.004727150399118 0.005726895580141 0.034223937566380 0.880334596042892 0.000311859477646 0.001026080310424
0.000000010568175 0.044262812419873 0.060843903920125 0.004725434040594 0.005722736568719 0.034231476111469 0.880306815574339 0.000311807164414 0.001024100185948
0.000000010665961 0.044253244236418 0.060818399271114 0.004723701943477 0.005718545417129 0.034239080316522 0.880278789143859 0.000311754261820 0.001022106876080
0.000000010764652 0.044243586305636 0.060792678938101 0.004721953965524 0.005714321930906 0.034246750713451 0.880250514681392 0.000311700762575 0.001020100340403
0.000000010864256 0.044233837781346 0.060766741277354 0.004720189963263 0.005710065915310 0.034254487837695 0.880221990101535 0.000311646659295 0.001018080539286
0.000000010964782 0.044223997809430 0.060740584635806 0.004718409791974 0.005705777175359 0.034262292228236 0.880193213303473 0.000311591944496 0.001016047433918
0.000000011066238 0.044214065527757 0.060714207351051 0.004716613305686 0.005701455515831 0.034270164427597 0.880164182170903 0.000311536610590 0.001014000986309
0.000000011168632 0.044204040066114 0.060687607751358 0.004714800357166 0.005697100741282 0.034278104981855 0.880134894571967 0.000311480649892 0.001011941159322
0.000000011271975 0.044193920546133 0.060660784155673 0.004712970797911 0.005692712656074 0.034286114440643 0.880105348359183 0.000311424054609 0.001009867916693
0.000000011376273 0.044183706081223 0.060633734873638 0.004711124478133 0.005688291064382 0.034294193357160 0.880075541369373 0.000311366816845 0.001007781223050
0.000000011481536 0.044173395776491 0.060606458205588 0.004709261246757 0.005683835770219 0.034302342288171 0.880045471423597 0.000311308928597 0.001005681043939
0.000000011587774 0.044162988728675 0.060578952442576 0.004707380951405 0.005679346577450 0.034310561794016 0.880015136327083 0.000311250381754 0.001003567345838
0.000000011694994 0.044152484026064 0.060551215866372 0.004705483438392 0.005674823289806 0.034318852438612 0.879984533869163 0.000311191168094 0.001001440096179
0.000000011803206 0.044141880748431 0.060523246749506 0.004703568552710 0.005670265710925 0.034327214789459 0.879953661823208 0.000311131279288 0.000999299263389
0.000000011912420 0.044131177966953 0.060495043355242 0.004701636138024 0.005665673644335 0.034335649417641 0.879922517946557 0.000311070706888 0.000997144816879
0.000000012022644 0.044120374744138 0.060466603937640 0.004699686036660 0.005661046893509 0.034344156897830 0.879891099980459 0.000311009442338 0.000994976727098
0.000000012133889 0.044109470133750 0.060437926741548 0.004697718089593 0.005656385261867 0.034352737808290 0.879859405650008 0.000310947476962 0.000992794965541
0.000000012246162 0.044098463180734 0.060409010002629 0.004695732136442 0.005651688552791 0.034361392730875 0.879827432664080 0.000310884801969 0.000990599504769
0.000000012359474 0.044087352921135 0.060379851947388 0.004693728015457 0.005646956569657 0.034370122251034 0.879795178715272 0.000310821408446 0.000988390318438
0.000000012473835 0.044076138382027 0.060350450793195 0.004691705563509 0.005642189115853 0.034378926957812 0.879762641479841 0.000310757287363 0.000986167381323
0.000000012589254 0.044064818581433 0.060320804748314 0.004689664616082 0.005637385994795 0.034387807443845 0.879729818617648 0.000310692429565 0.000983930669338
0.000000012705741 0.044053392528247 0.060290912011923 0.004687605007262 0.005632547009958 0.034396764305366 0.879696707772097 0.000310626825774 0.000981680159566
0.000000012823306 0.044041859222157 0.060260770774154 0.004685526569727 0.005627671964884 0.034405798142201 0.879663306570080 0.000310560466585 0.000979415830274
0.000000012941958 0.044030217653566 0.060230379216114 0.004683429134738 0.005622760663216 0.034414909557766 0.879629612621918 0.000310493342466 0.000977137660944
0.000000013061709 0.044018466803512 0.060199735509924 0.004681312532129 0.005617812908708 0.034424099159068 0.879595623521313 0.000310425443756 0.000974845632291
0.000000013182567 0.044006605643591 0.060168837818758 0.004679176590294 0.005612828505263 0.034433367556701 0.879561336845288 0.000310356760662 0.000972539726297
0.000000013304544 0.043994633135875 0.060137684296870 0.004677021136183 0.005607807256938 0.034442715364840 0.879526750154141 0.000310287283260 0.000970219926226
0.000000013427650 0.043982548232835 0.060106273089643 0.004674845995287 0.005602748967986 0.034452143201240 0.879491860991392 0.000310217001489 0.000967886216656
0.000000013551894 0.043970349877255 0.060074602333620 0.004672650991631 0.005597653442857 0.034461651687230 0.879456666883733 0.000310145905152 0.000965538583499
0.000000013677288 0.043958037002157 0.060042670156556 0.004670435947761 0.005592520486243 0.034471241447706 0.879421165340981 0.000310073983913 0.000963177014029
0.000000013803843 0.043945608530715 0.060010474677459 0.004668200684737 0.005587349903088 0.034480913111129 0.879385353856037 0.000310001227297 0.000960801496909
0.000000013931568 0.043933063376178 0.059978014006632 0.004665945022122 0.005582141498618 0.034490667309510 0.879349229904834 0.000309927624685 0.000958412022212
0.000000014060475 0.043920400441783 0.059945286245721 0.004663668777974 0.005576895078356 0.034500504678411 0.879312790946299 0.000309853165315 0.000956008581443
