t p_lowerST2 p_upperST2 p_lowerST3 p_upperST3 p_lowerST4 p_upperST4 p_lowerST0 p_upperST0 p_physST2_lower p_physST2_upper p_physST3_lower p_physST3_upper p_physST4_lower p_physST4_upper
0.000000010000000 0.044318383229891 0.060992493321439 0.044037722597495 0.060302386636694 0.044034911140906 0.060295497256691 0.044034882741865 0.060295427668175 0.001443255240147 0.002410948618864 0.000014458945206 0.000024167216380 0.000000144592088 0.000000241677946
0.000000010092529 0.044309336196500 0.060968248781497 0.044028610410842 0.060278265211398 0.044025798304083 0.060271377075183 0.044025769898475 0.060271307499233 0.001443274755295 0.002411558365686 0.000014459124691 0.000024173343100 0.000000144593881 0.000000241739216
0.000000010185914 0.044300204330012 0.060943798223655 0.044019412850146 0.060253938876287 0.044016600087827 0.060247051995063 0.044016571675597 0.060246982431790 0.001443294243039 0.002412173832026 0.000014459303743 0.000024179527297 0.000000144595670 0.000000241801061
0.000000010280163 0.044290986830432 0.060919140060267 0.044010129111526 0.060229406053311 0.044007315688216 0.060222520438373 0.044007287269310 0.060222450887894 0.001443313699401 0.002412795072247 0.000014459482318 0.000024185769517 0.000000144597454 0.000000241863486
0.000000010375284 0.044281682890236 0.060894272694338 0.044000758383556 0.060204665155147 0.043997944293788 0.060197780817898 0.043997915868150 0.060197711280325 0.001443333120302 0.002413422141246 0.000014459660375 0.000024192070313 0.000000144599233 0.000000241926497
0.000000010471285 0.044272291694309 0.060869194519521 0.043991299847201 0.060179714585206 0.043988485085467 0.060172831537136 0.043988456653042 0.060172762012588 0.001443352501556 0.002414055094450 0.000014459837870 0.000024198430241 0.000000144601006 0.000000241990100
0.000000010568175 0.044262812419873 0.060843903920125 0.043981752675750 0.060154552737619 0.043978937236504 0.060147670990327 0.043978908797235 0.060147601478919 0.001443371838874 0.002414693987830 0.000014460014758 0.000024204849864 0.000000144602773 0.000000242054299
0.000000010665961 0.044253244236418 0.060818399271114 0.043972116034743 0.060129177997248 0.043969299912399 0.060122297562428 0.043969271466230 0.060122228064280 0.001443391127857 0.002415338877903 0.000014460190994 0.000024211329751 0.000000144604534 0.000000242119101
0.000000010764652 0.044243586305636 0.060792678938101 0.043962389081905 0.060103588739688 0.043959572270838 0.060096709629137 0.043959543817713 0.060096640144366 0.001443410363997 0.002415989821737 0.000014460366529 0.000024217870474 0.000000144606288 0.000000242184511
0.000000010864256 0.044233837781346 0.060766741277354 0.043952570967077 0.060077783331261 0.043949753461623 0.060070905556877 0.043949725001484 0.060070836085602 0.001443429542671 0.002416646876957 0.000014460541317 0.000024224472614 0.000000144608034 0.000000242250536
0.000000010964782 0.044223997809430 0.060740584635806 0.043942660832144 0.060051760129026 0.043939842626598 0.060044883702810 0.043939814159388 0.060044814245156 0.001443448659144 0.002417310101753 0.000014460715308 0.000024231136754 0.000000144609772 0.000000242317180
0.000000011066238 0.044214065527757 0.060714207351051 0.043932657810966 0.060025517480793 0.043929838899584 0.060018642414849 0.043929810425244 0.060018572970936 0.001443467708561 0.002417979554881 0.000014460888451 0.000024237863487 0.000000144611502 0.000000242384451
0.000000011168632 0.044204040066114 0.060687607751358 0.043922561029304 0.059999053725113 0.043919741406303 0.059992180031650 0.043919712924775 0.059992110601601 0.001443486685950 0.002418655295675 0.000014461060695 0.000024244653408 0.000000144613223 0.000000242452354
0.000000011271975 0.044193920546133 0.060660784155673 0.043912369604754 0.059972367191298 0.043909549264311 0.059965494882628 0.043909520775536 0.059965425466569 0.001443505586215 0.002419337384048 0.000014461231986 0.000024251507119 0.000000144614934 0.000000242520894
0.000000011376273 0.044183706081223 0.060633734873638 0.043902082646671 0.059945456199430 0.043899261582920 0.059938585287972 0.043899233086840 0.059938515886028 0.001443524404138 0.002420025880498 0.000014461402272 0.000024258425229 0.000000144616635 0.000000242590078
0.000000011481536 0.044173395776491 0.060606458205588 0.043891699256097 0.059918319060368 0.043888877463135 0.059911449558649 0.043888848959689 0.059911380170946 0.001443543134372 0.002420720846120 0.000014461571495 0.000024265408351 0.000000144618325 0.000000242659913
0.000000011587774 0.044162988728675 0.060578952442576 0.043881218525689 0.059890954075764 0.043878395997571 0.059884085996416 0.043878367486699 0.059884016623082 0.001443561771443 0.002421422342602 0.000014461739599 0.000024272457107 0.000000144620004 0.000000242730404
0.000000011694994 0.044152484026064 0.060551215866372 0.043870639539646 0.059863359538071 0.043867816270386 0.059856492893836 0.043867787752028 0.059856423535000 0.001443580309745 0.002422130432242 0.000014461906527 0.000024279572121 0.000000144621672 0.000000242801557
0.000000011803206 0.044141880748431 0.060523246749506 0.043859961373634 0.059835533730571 0.043857137357207 0.059828668534299 0.043857108831302 0.059828599190089 0.001443598743537 0.002422845177947 0.000014462072218 0.000024286754027 0.000000144623327 0.000000242873380
0.000000011912420 0.044131177966953 0.060495043355242 0.043849183094714 0.059807474927375 0.043846358325051 0.059800611192026 0.043846329791538 0.059800541862576 0.001443617066940 0.002423566643240 0.000014462236612 0.000024294003463 0.000000144624969 0.000000242945878
0.000000012022644 0.044120374744138 0.060466603937640 0.043838303761263 0.059779181393460 0.043835478232258 0.059772319132105 0.043835449691075 0.059772249817543 0.001443635273939 0.002424294892271 0.000014462399646 0.000024301321075 0.000000144626597 0.000000243019057
0.000000012133889 0.044109470133750 0.060437926741548 0.043827322422904 0.059750651384671 0.043824496128408 0.059743790610492 0.043824467579493 0.059743721310955 0.001443653358375 0.002425029989816 0.000014462561257 0.000024308707512 0.000000144628211 0.000000243092925
