t p_lowerLD p_upperLD p_lowerST p_upperST t_lowerLD t_upperLD t_lowerST t_upperST p_LDqubit_STduration_lower p_LDqubit_STduration_upper p_210_STduration_lower p_210_STduration_upper p_2100_STduration_lower p_2100_STduration_upper p_LDqubit_LDduration_lower p_LDqubit_LDduration_upper p_measST
0.000000010000000 0.001603458249176 0.001615469035726 0.015174108941219 0.017258882901810 0.000000152598251 0.000000840000000 0.000000227059504 0.000000660000000 0.000058450118921 0.000493633716275 0.000000584535014 0.000004938751119 0.000000005845354 0.000000049387753 0.000026400920135 0.000799360341197 0.000400000000000
0.000000010092529 0.001603495933545 0.001615508004251 0.015174109939535 0.017258884399408 0.000000152935653 0.000000841850577 0.000000227123176 0.000000660185058 0.000058482902760 0.000493910438691 0.000000584862891 0.000004941521051 0.000000005848632 0.000000049415452 0.000026517793429 0.000802883479001 0.000400000000000
0.000000010185914 0.001603534320190 0.001615547699037 0.015174110956412 0.017258885924852 0.000000153276194 0.000000843718278 0.000000227187437 0.000000660371828 0.000058515999295 0.000494189800093 0.000000585193894 0.000004944317401 0.000000005851942 0.000000049443416 0.000026636015675 0.000806447051816 0.000400000000000
0.000000010280163 0.001603573422230 0.001615588133651 0.015174111992194 0.017258887478654 0.000000153619903 0.000000845603260 0.000000227252293 0.000000660560326 0.000058549411595 0.000494471826357 0.000000585528056 0.000004947140426 0.000000005855284 0.000000049471647 0.000026755604396 0.000810051579290 0.000400000000000
0.000000010375284 0.001603613253029 0.001615629321919 0.015174113047232 0.017258889061346 0.000000153966809 0.000000847505683 0.000000227317749 0.000000660750568 0.000058583142758 0.000494756543628 0.000000585865407 0.000004949990390 0.000000005858657 0.000000049500146 0.000026876577371 0.000813697588579 0.000400000000000
0.000000010471285 0.001603653826204 0.001615671277921 0.015174114121886 0.017258890673458 0.000000154316944 0.000000849425710 0.000000227383811 0.000000660942571 0.000058617195915 0.000495043978320 0.000000586205978 0.000004952867556 0.000000005862063 0.000000049528918 0.000026998952643 0.000817385614467 0.000400000000000
0.000000010568175 0.001603695155626 0.001615714016010 0.015174115216518 0.017258892315548 0.000000154670337 0.000000851363502 0.000000227450484 0.000000661136350 0.000058651574229 0.000495334157118 0.000000586549801 0.000004955772192 0.000000005865501 0.000000049557965 0.000027122748519 0.000821116199487 0.000400000000000
0.000000010665961 0.001603737255428 0.001615757550799 0.015174116331502 0.017258893988160 0.000000155027018 0.000000853319224 0.000000227517774 0.000000661331922 0.000058686280897 0.000495627106985 0.000000586896908 0.000004958704568 0.000000005868972 0.000000049587289 0.000027247983580 0.000824889894046 0.000400000000000
0.000000010764652 0.001603780140008 0.001615801897182 0.015174117467215 0.017258895691874 0.000000155387019 0.000000855293043 0.000000227585687 0.000000661529304 0.000058721319146 0.000495922855160 0.000000587247331 0.000004961664956 0.000000005872477 0.000000049616893 0.000027374676680 0.000828707256548 0.000400000000000
0.000000010864256 0.001603823824033 0.001615847070331 0.015174118624043 0.017258897427261 0.000000155750371 0.000000857285125 0.000000227654229 0.000000661728512 0.000058756692239 0.000496221429168 0.000000587601103 0.000004964653631 0.000000005876014 0.000000049646780 0.000027502846952 0.000832568853525 0.000400000000000
0.000000010964782 0.001603868322449 0.001615893085700 0.015174119802377 0.017258899194910 0.000000156117106 0.000000859295639 0.000000227723404 0.000000661929564 0.000058792403474 0.000496522856814 0.000000587958257 0.000004967670873 0.000000005879586 0.000000049676953 0.000027632513818 0.000836475259764 0.000400000000000
0.000000011066238 0.001603913650479 0.001615939959044 0.015174121002619 0.017258900995423 0.000000156487254 0.000000861324757 0.000000227793220 0.000000662132476 0.000058828456179 0.000496827166194 0.000000588318826 0.000004970716962 0.000000005883192 0.000000049707414 0.000027763696984 0.000840427058441 0.000400000000000
0.000000011168632 0.001603959823635 0.001615987706400 0.015174122225175 0.017258902829413 0.000000156860848 0.000000863372650 0.000000227863682 0.000000662337265 0.000058864853719 0.000497134385695 0.000000588682844 0.000004973792184 0.000000005886832 0.000000049738167 0.000027896416453 0.000844424841257 0.000400000000000
0.000000011271975 0.001604006857719 0.001616036344118 0.015174123470461 0.017258904697496 0.000000157237921 0.000000865439491 0.000000227934796 0.000000662543949 0.000058901599495 0.000497444543999 0.000000589050345 0.000004976896824 0.000000005890507 0.000000049769213 0.000028030692527 0.000848469208571 0.000400000000000
0.000000011376273 0.001604054768831 0.001616085888849 0.015174124738898 0.017258906600311 0.000000157618505 0.000000867525457 0.000000228006567 0.000000662752546 0.000058938696942 0.000497757670084 0.000000589421362 0.000004980031172 0.000000005894217 0.000000049800557 0.000028166545810 0.000852560769542 0.000400000000000
0.000000011481536 0.001604103573374 0.001616136357559 0.015174126030917 0.017258908538501 0.000000158002633 0.000000869630724 0.000000228079004 0.000000662963072 0.000058976149531 0.000498073793233 0.000000589795932 0.000004983195524 0.000000005897963 0.000000049832201 0.000028303997217 0.000856700142269 0.000400000000000
0.000000011587774 0.001604153288059 0.001616187767537 0.015174127346957 0.017258910512728 0.000000158390339 0.000000871755471 0.000000228152110 0.000000663175547 0.000059013960769 0.000498392943030 0.000000590174089 0.000004986390173 0.000000005901744 0.000000049864148 0.000028443067976 0.000860887953937 0.000400000000000
0.000000011694994 0.001604203929912 0.001616240136393 0.015174128687464 0.017258912523658 0.000000158781656 0.000000873899878 0.000000228225893 0.000000663389988 0.000059052134198 0.000498715149369 0.000000590555868 0.000004989615420 0.000000005905562 0.000000049896401 0.000028583779633 0.000865124840961 0.000400000000000
