t p_lowerST2 p_upperST2 p_lowerST3 p_upperST3 p_lowerST4 p_upperST4 p_lowerST0 p_upperST0
0.000000010000000 0.044318383229891 0.060992493321439 0.033089005032224 0.041973702056124 0.100886148369337 0.394739111156936 0.031860422797257 0.040046782916867
0.000000010092529 0.044309336196500 0.060968248781497 0.033081093117712 0.041956926492520 0.100892461430424 0.394666572343359 0.031852703202139 0.040030821500767
0.000000010185914 0.044300204330012 0.060943798223655 0.033073107446530 0.041940008722619 0.100898822202369 0.394593402557351 0.031844911649751 0.040014724832687
0.000000010280163 0.044290986830432 0.060919140060267 0.033065047330506 0.041922947653791 0.100905230934770 0.394519596690900 0.031837047468795 0.039998491873945
0.000000010375284 0.044281682890236 0.060894272694338 0.033056912075112 0.041905742186953 0.100911687876167 0.394445149601819 0.031829109981781 0.039982121579731
0.000000010471285 0.044272291694309 0.060869194519521 0.033048700979413 0.041888391216561 0.100918193273974 0.394370056113658 0.031821098504964 0.039965612899085
0.000000010568175 0.044262812419873 0.060843903920125 0.033040413336010 0.041870893630611 0.100924747374412 0.394294311015623 0.031813012348295 0.039948964774907
0.000000010665961 0.044253244236418 0.060818399271114 0.033032048430980 0.041853248310641 0.100931350422438 0.394217909062500 0.031804850815365 0.039932176143953
0.000000010764652 0.044243586305636 0.060792678938101 0.033023605543826 0.041835454131722 0.100938002661676 0.394140844974573 0.031796613203349 0.039915245936822
0.000000010864256 0.044233837781346 0.060766741277354 0.033015083947415 0.041817509962454 0.100944704334338 0.394063113437547 0.031788298802952 0.039898173077964
0.000000010964782 0.044223997809430 0.060740584635806 0.033006482907923 0.041799414664974 0.100951455681158 0.393984709102490 0.031779906898353 0.039880956485680
0.000000011066238 0.044214065527757 0.060714207351051 0.032997801684778 0.041781167094952 0.100958256941307 0.393905626585754 0.031771436767147 0.039863595072111
0.000000011168632 0.044204040066114 0.060687607751358 0.032989039530599 0.041762766101588 0.100965108352319 0.393825860468917 0.031762887680290 0.039846087743248
0.000000011271975 0.044193920546133 0.060660784155673 0.032980195691143 0.041744210527619 0.100972010150012 0.393745405298729 0.031754258902044 0.039828433398930
0.000000011376273 0.044183706081223 0.060633734873638 0.032971269405239 0.041725499209321 0.100978962568406 0.393664255587049 0.031745549689916 0.039810630932845
0.000000011481536 0.044173395776491 0.060606458205588 0.032962259904738 0.041706630976510 0.100985965839637 0.393582405810797 0.031736759294601 0.039792679232534
0.000000011587774 0.044162988728675 0.060578952442576 0.032953166414447 0.041687604652546 0.100993020193874 0.393499850411910 0.031727886959929 0.039774577179392
0.000000011694994 0.044152484026064 0.060551215866372 0.032943988152069 0.041668419054333 0.101000125859234 0.393416583797287 0.031718931922801 0.039756323648668
0.000000011803206 0.044141880748431 0.060523246749506 0.032934724328149 0.041649072992347 0.101007283061687 0.393332600338773 0.031709893413133 0.039737917509487
0.000000011912420 0.044131177966953 0.060495043355242 0.032925374146009 0.041629565270603 0.101014492024973 0.393247894373098 0.031700770653796 0.039719357624829
0.000000012022644 0.044120374744138 0.060466603937640 0.032915936801686 0.041609894686704 0.101021752970505 0.393162460201871 0.031691562860558 0.039700642851561
0.000000012133889 0.044109470133750 0.060437926741548 0.032906411483876 0.041590060031824 0.101029066117271 0.393076292091538 0.031682269242026 0.039681772040429
0.000000012246162 0.044098463180734 0.060409010002629 0.032896797373868 0.041570060090722 0.101036431681746 0.392989384273370 0.031672888999580 0.039662744036067
0.000000012359474 0.044087352921135 0.060379851947388 0.032887093645486 0.041549893641752 0.101043849877786 0.392901730943446 0.031663421327322 0.039643557677008
0.000000012473835 0.044076138382027 0.060350450793195 0.032877299465024 0.041529559456881 0.101051320916530 0.392813326262640 0.031653865412007 0.039624211795699
0.000000012589254 0.044064818581433 0.060320804748314 0.032867413991185 0.041509056301692 0.101058845006298 0.392724164356623 0.031644220432986 0.039604705218501
0.000000012705741 0.044053392528247 0.060290912011923 0.032857436375019 0.041488382935405 0.101066422352484 0.392634239315853 0.031634485562146 0.039585036765712
0.000000012823306 0.044041859222157 0.060260770774154 0.032847365759859 0.041467538110882 0.101074053157450 0.392543545195591 0.031624659963847 0.039565205251570
0.000000012941958 0.044030217653566 0.060230379216114 0.032837201281259 0.041446520574650 0.101081737620416 0.392452076015901 0.031614742794859 0.039545209484269
0.000000013061709 0.044018466803512 0.060199735509924 0.032826942066927 0.041425329066907 0.101089475937350 0.392359825761674 0.031604733204303 0.039525048265969
0.000000013182567 0.044006605643591 0.060168837818758 0.032816587236669 0.041403962321555 0.101097268300854 0.392266788382650 0.031594630333588 0.039504720392825
0.000000013304544 0.043994633135875 0.060137684296870 0.032806135902315 0.041382419066199 0.101105114900044 0.392172957793442 0.031584433316346 0.039484224654984
0.000000013427650 0.043982548232835 0.060106273089643 0.032795587167662 0.041360698022180 0.101113015920437 0.392078327873577 0.031574141278372 0.039463559836618
0.000000013551894 0.043970349877255 0.060074602333620 0.032784940128406 0.041338797904587 0.101120971543828 0.391982892467526 0.031563753337561 0.039442724715931
0.000000013677288 0.043958037002157 0.060042670156556 0.032774193872080 0.041316717422284 0.101128981948164 0.391886645384765 0.031553268603841 0.039421718065183
0.000000013803843 0.043945608530715 0.060010474677459 0.032763347477984 0.041294455277928 0.101137047307423 0.391789580399818 0.031542686179114 0.039400538650709
0.000000013931568 0.043933063376178 0.059978014006632 0.032752400017124 0.041272010167994 0.101145167791482 0.391691691252319 0.031532005157190 0.039379185232941
0.000000014060475 0.043920400441783 0.059945286245721 0.032741350552147 0.041249380782791 0.101153343565989 0.391592971647076 0.031521224623724 0.039357656566418
