t p_lowerLD p_upperLD p_lowerST p_upperST t_lowerLD t_upperLD t_lowerST t_upperST p_LDqubit_STduration_lower p_LDqubit_STduration_upper p_210_STduration_lower p_210_STduration_upper p_2100_STduration_lower p_2100_STduration_upper p_measST
0.000000010000000 0.163721336942291 0.451992436305726 0.005778770567981 0.005920762879925 0.000011480431144 0.000025400000000 0.000000916985597 0.000001620000000 0.000952450623651 0.002966674079781 0.000009533498507 0.000029754216692 0.000000095335885 0.000000297550932 0.053268649202810
0.000000010092529 0.163757324511368 0.452160964180062 0.005777612188824 0.005919479694843 0.000011480495852 0.000025405551732 0.000000916961125 0.000001620185058 0.000952399836265 0.002967349888282 0.000009532989673 0.000029761014715 0.000000095330796 0.000000297618916 0.053251589307638
0.000000010185914 0.163793637842738 0.452331003517387 0.005776443317691 0.005918185005506 0.000011480560580 0.000025411154833 0.000000916936403 0.000001620371828 0.000952348531140 0.002968032027299 0.000009532475653 0.000029767876426 0.000000095325656 0.000000297687537 0.053234375950735
0.000000010280163 0.163830279822737 0.452502567362780 0.005775263861731 0.005916878712164 0.000011480625322 0.000025416809779 0.000000916911428 0.000001620560326 0.000952296702628 0.002968720556847 0.000009531956388 0.000029774802429 0.000000095320463 0.000000297756801 0.053217007793075
0.000000010375284 0.163867253362205 0.452675668863221 0.005774073727313 0.005915560714268 0.000011480690066 0.000025422517049 0.000000916886198 0.000001620750568 0.000952244345011 0.002969415537520 0.000009531431823 0.000029781793335 0.000000095315218 0.000000297826715 0.053199483484730
0.000000010471285 0.163904561396674 0.452850321268153 0.005772872820019 0.005914230910452 0.000011480754805 0.000025428277129 0.000000916860709 0.000001620942571 0.000952191452505 0.002970117030502 0.000009530901899 0.000029788849759 0.000000095309918 0.000000297897283 0.053181801664788
0.000000010568175 0.163942206886563 0.453026537930039 0.005771661044643 0.005912889198540 0.000011480819529 0.000025434090506 0.000000916834959 0.000001621136350 0.000952138019254 0.002970825097568 0.000009530366557 0.000029795972322 0.000000095304565 0.000000297968513 0.053163960961289
0.000000010665961 0.163980192817366 0.453204332304923 0.005770438305178 0.005911535475547 0.000011480884227 0.000025439957673 0.000000916808944 0.000001621331922 0.000952084039335 0.002971539801097 0.000009529825738 0.000029803161653 0.000000095299157 0.000000298040410 0.053145959991142
0.000000010764652 0.164018522199851 0.453383717952965 0.005769204504817 0.005910169637648 0.000011480948892 0.000025445879128 0.000000916782663 0.000001621529304 0.000952029506753 0.002972261204070 0.000009529279383 0.000029810418385 0.000000095293693 0.000000298112982 0.053127797360058
0.000000010864256 0.164057198070252 0.453564708538997 0.005767959545942 0.005908791580199 0.000011481013511 0.000025451855374 0.000000916756111 0.000001621728512 0.000951974415439 0.002972989370081 0.000009528727429 0.000029817743159 0.000000095288173 0.000000298186234 0.053109471662470
0.000000010964782 0.164096223490466 0.453747317833072 0.005766703330121 0.005907401197719 0.000011481078076 0.000025457886918 0.000000916729287 0.000001621929564 0.000951918759255 0.002973724363345 0.000009528169816 0.000029825136620 0.000000095282597 0.000000298260173 0.053090981481459
0.000000011066238 0.164135601548253 0.453931559710988 0.005765435758101 0.005905998383884 0.000011481142576 0.000025463974270 0.000000916702186 0.000001622132476 0.000951862531985 0.002974466248698 0.000009527606482 0.000029832599421 0.000000095276963 0.000000298334805 0.053072325388683
0.000000011168632 0.164175335357431 0.454117448154839 0.005764156729805 0.005904583031527 0.000011481206999 0.000025470117949 0.000000916674807 0.000001622337265 0.000951805727342 0.002975215091608 0.000009527037363 0.000029840132221 0.000000095271272 0.000000298410138 0.053053501944298
0.000000011271975 0.164215428058079 0.454304997253531 0.005762866144319 0.005903155032632 0.000011481271336 0.000025476318474 0.000000916647145 0.000001622543949 0.000951748338960 0.002975970958182 0.000009526462395 0.000029847735685 0.000000095265522 0.000000298486177 0.053034509696883
0.000000011376273 0.164255882816735 0.454494221203326 0.005761563899896 0.005901714278321 0.000011481335574 0.000025482576371 0.000000916619197 0.000001622752546 0.000951690360399 0.002976733915169 0.000009525881515 0.000029855410486 0.000000095259714 0.000000298562930 0.053015347183367
0.000000011481536 0.164296702826606 0.454685134308347 0.005760249893940 0.005900260658859 0.000011481399703 0.000025488892173 0.000000916590962 0.000001622963072 0.000951631785139 0.002977504029967 0.000009525294657 0.000029863157300 0.000000095253845 0.000000298640402 0.052996012928950
0.000000011587774 0.164337891307760 0.454877750981105 0.005758924023008 0.005898794063644 0.000011481463711 0.000025495266414 0.000000916562434 0.000001623175547 0.000951572606582 0.002978281370635 0.000009524701754 0.000029870976814 0.000000095247916 0.000000298718602 0.052976505447032
0.000000011694994 0.164379451507343 0.455072085743007 0.005757586182798 0.005897314381194 0.000011481527587 0.000025501699635 0.000000916533612 0.000001623389988 0.000951512818051 0.002979066005893 0.000009524102740 0.000029878869718 0.000000095241925 0.000000298797536 0.052956823239134
0.000000011803206 0.164421386699779 0.455268153224863 0.005756236268148 0.005895821499163 0.000011481591317 0.000025508192381 0.000000916504492 0.000001623606413 0.000951452412787 0.002979858005130 0.000009523497547 0.000029886836712 0.000000095235873 0.000000298877210 0.052936964794822
0.000000011912420 0.164463700186976 0.455465968167382 0.005754874173027 0.005894315304305 0.000011481654890 0.000025514745205 0.000000916475070 0.000001623824840 0.000951391383949 0.002980657438417 0.000009522886107 0.000029894878500 0.000000095229759 0.000000298957633 0.052916928591633
