t p_lowerLD p_upperLD p_lowerST p_upperST t_lowerLD t_upperLD t_lowerST t_upperST p_LDqubit_STduration_lower p_LDqubit_STduration_upper p_210_STduration_lower p_210_STduration_upper p_2100_STduration_lower p_2100_STduration_upper p_LDqubit_LDduration_lower p_LDqubit_LDduration_upper p_measST
0.000000010000000 0.014566456525344 0.016002843727260 0.054391873198422 0.071065983289971 0.000002563958875 0.000008840000000 0.000001110285793 0.000001460000000 0.001395706582628 0.002410948618864 0.000013976386779 0.000024167216380 0.000000139765802 0.000000241677946 0.007398106553752 0.081194257209043 0.103002849995824
0.000000010092529 0.014574825703024 0.016012721085788 0.054381085836330 0.071039998421327 0.000002564850113 0.000008841850577 0.000001110298545 0.000001460185058 0.001395738598137 0.002411558365686 0.000013976707821 0.000024173343100 0.000000139769012 0.000000241739216 0.007403212374570 0.081225330900829 0.102955350655632
0.000000010185914 0.014583276177791 0.016022694992074 0.054370197258515 0.071013791152158 0.000002565749764 0.000008843718278 0.000001110311334 0.000001460371828 0.001395770706908 0.002412173832026 0.000013977029799 0.000024179527297 0.000000139772232 0.000000241801061 0.007408368133582 0.081256696370448 0.102907431630014
0.000000010280163 0.014591808774281 0.016032766436739 0.054359206509418 0.070987359739253 0.000002566657907 0.000008845603260 0.000001110324159 0.000001460560326 0.001395802906162 0.002412795072247 0.000013977352684 0.000024185769517 0.000000139775461 0.000000241863486 0.007413574343733 0.081288356395490 0.102859089397135
0.000000010375284 0.014600424326126 0.016042936421400 0.054348112624474 0.070960702428576 0.000002567574625 0.000008847505683 0.000001110337019 0.000001460750568 0.001395835193027 0.002413422141246 0.000013977676447 0.000024192070313 0.000000139778699 0.000000241926497 0.007418831523683 0.081320313780656 0.102810320409102
0.000000010471285 0.014609123676061 0.016053205958845 0.054336914630030 0.070933817455242 0.000002568500000 0.000008849425710 0.000001110349912 0.000001460942571 0.001395867564538 0.002414055094450 0.000013978001060 0.000024198430241 0.000000139781945 0.000000241990100 0.007424140197878 0.081352571358030 0.102761121091832
0.000000010568175 0.014617907676036 0.016063576073146 0.054325611543262 0.070906703043515 0.000002569434116 0.000008851363502 0.000001110362837 0.000001461136350 0.001395900017641 0.002414693987830 0.000013978326490 0.000024204849864 0.000000139785199 0.000000242054299 0.007429500896619 0.081385131987364 0.102711487844932
0.000000010665961 0.014626777187328 0.016074047799802 0.054314202372096 0.070879357406792 0.000002570377056 0.000008853319224 0.000001110375794 0.000001461331922 0.001395932549181 0.002415338877903 0.000013978652707 0.000024211329751 0.000000139788462 0.000000242119101 0.007434914156140 0.081417998556355 0.102661417041572
0.000000010764652 0.014635733080654 0.016084622185894 0.054302686115118 0.070851778747583 0.000002571328906 0.000008855293043 0.000001110388780 0.000001461529304 0.001395965155909 0.002415989821737 0.000013978979678 0.000024217870474 0.000000139791731 0.000000242184511 0.007440380518679 0.081451173980934 0.102610905028367
0.000000010864256 0.014644776236286 0.016095300290229 0.054291061761497 0.070823965257505 0.000002572289752 0.000008857285125 0.000001110401795 0.000001461728512 0.001395997834474 0.002416646876957 0.000013979307370 0.000024224472614 0.000000139795008 0.000000242250536 0.007445900532556 0.081484661205548 0.102559948125254
0.000000010964782 0.014653907544171 0.016106083183477 0.054279328290897 0.070795915117272 0.000002573259680 0.000008859295639 0.000001110414837 0.000001461929564 0.001396030581424 0.002417310101753 0.000013979635747 0.000024231136754 0.000000139798292 0.000000242317180 0.007451474752249 0.081518463203459 0.102508542625366
0.000000011066238 0.014663127904045 0.016116971948330 0.054267484673395 0.070767626496689 0.000002574238778 0.000008861324757 0.000001110427905 0.000001462132476 0.001396063393203 0.002417979554881 0.000013979964774 0.000024237863487 0.000000139801583 0.000000242384451 0.007457103738471 0.081552582977034 0.102456684794922
0.000000011168632 0.014672438225554 0.016127967679646 0.054255529869389 0.070739097554634 0.000002575227134 0.000008863372650 0.000001110440996 0.000001462337265 0.001396096266149 0.002418655295675 0.000013980294415 0.000024244653408 0.000000139804879 0.000000242452354 0.007462788058251 0.081587023558042 0.102404370873101
0.000000011271975 0.014681839428381 0.016139071484619 0.054243462829522 0.070710326439062 0.000002576224837 0.000008865439491 0.000001110454111 0.000001462543949 0.001396129196491 0.002419337384048 0.000013980624631 0.000024251507119 0.000000139808181 0.000000242520894 0.007468528285011 0.081621788007957 0.102351597071927
0.000000011376273 0.014691332442361 0.016150284482907 0.054231282494585 0.070681311287000 0.000002577231978 0.000008867525457 0.000001110467246 0.000001462752546 0.001396162180346 0.002420025880498 0.000013980955384 0.000024258425229 0.000000139811489 0.000000242590078 0.007474324998650 0.081656879418263 0.102298359576154
0.000000011481536 0.014700918207614 0.016161607806825 0.054218987795436 0.070652050224532 0.000002578248648 0.000008869630724 0.000001110480402 0.000001462963072 0.001396195213722 0.002420720846120 0.000013981286633 0.000024265408351 0.000000139814802 0.000000242659913 0.007480178785626 0.081692300910759 0.102244654543153
0.000000011587774 0.014710597674667 0.016173042601481 0.054206577652911 0.070622541366813 0.000002579274939 0.000008871755471 0.000001110493575 0.000001463175547 0.001396228292506 0.002421422342602 0.000013981618338 0.000024272457107 0.000000139818119 0.000000242730404 0.007486090239038 0.081728055637870 0.102190478102792
0.000000011694994 0.014720371804586 0.016184590024942 0.054194050977735 0.070592782818043 0.000002580310944 0.000008873899878 0.000001110506764 0.000001463389988 0.001396261412473 0.002422130432242 0.000013981950456 0.000024279572121 0.000000139821440 0.000000242801557 0.007492059958712 0.081764146782965 0.102135826357331
