t p_lowerLD p_upperLD p_lowerST p_upperST t_lowerLD t_upperLD t_lowerST t_upperST p_LDqubit_STduration_lower p_LDqubit_STduration_upper p_210_STduration_lower p_210_STduration_upper p_2100_STduration_lower p_2100_STduration_upper p_LDqubit_LDduration_lower p_LDqubit_LDduration_upper p_measST
0.000000010000000 0.014566456525344 0.016002843727260 0.039978612360831 0.046273873474440 0.000002563958875 0.000008840000000 0.000000912580081 0.000001460000000 0.000943329422584 0.002410948618864 0.000009442114984 0.000024167216380 0.000000094422032 0.000000241677946 0.007398106553752 0.081194257209043 0.053268649202810
0.000000010092529 0.014574825703024 0.016012721085788 0.039972860373142 0.046266065822458 0.000002564850113 0.000008841850577 0.000000912602548 0.000001460185058 0.000943375826812 0.002411558365686 0.000009442579894 0.000024173343100 0.000000094426682 0.000000241739216 0.007403212374570 0.081225330900829 0.053251589307638
0.000000010185914 0.014583276177791 0.016022694992074 0.039967056091202 0.046258188101817 0.000002565749764 0.000008843718278 0.000000912625202 0.000001460371828 0.000943422619054 0.002412173832026 0.000009443048692 0.000024179527297 0.000000094431370 0.000000241801061 0.007408368133582 0.081256696370448 0.053234375950735
0.000000010280163 0.014591808774281 0.016032766436739 0.039961199048675 0.046250239703979 0.000002566657907 0.000008845603260 0.000000912648045 0.000001460560326 0.000943469802149 0.002412795072247 0.000009443521406 0.000024185769517 0.000000094436097 0.000000241863486 0.007413574343733 0.081288356395490 0.053217007793075
0.000000010375284 0.014600424326126 0.016042936421400 0.039955288775247 0.046242220015496 0.000002567574625 0.000008847505683 0.000000912671078 0.000001460750568 0.000943517378948 0.002413422141246 0.000009443998065 0.000024192070313 0.000000094440864 0.000000241926497 0.007418831523683 0.081320313780656 0.053199483484730
0.000000010471285 0.014609123676061 0.016053205958845 0.039949324796590 0.046234128417974 0.000002568500000 0.000008849425710 0.000000912694302 0.000001460942571 0.000943565352314 0.002414055094450 0.000009444478696 0.000024198430241 0.000000094445670 0.000000241990100 0.007424140197878 0.081352571358030 0.053181801664788
0.000000010568175 0.014617907676036 0.016063576073146 0.039943306634336 0.046225964288049 0.000002569434116 0.000008851363502 0.000000912717719 0.000001461136350 0.000943613725124 0.002414693987830 0.000009444963330 0.000024204849864 0.000000094450516 0.000000242054299 0.007429500896619 0.081385131987364 0.053163960961289
0.000000010665961 0.014626777187328 0.016074047799802 0.039937233806039 0.046217726997354 0.000002570377056 0.000008853319224 0.000000912741330 0.000001461331922 0.000943662500268 0.002415338877903 0.000009445451994 0.000024211329751 0.000000094455403 0.000000242119101 0.007434914156140 0.081417998556355 0.053145959991142
0.000000010764652 0.014635733080654 0.016084622185894 0.039931105825155 0.046209415912477 0.000002571328906 0.000008855293043 0.000000912765136 0.000001461529304 0.000943711680646 0.002415989821737 0.000009445944719 0.000024217870474 0.000000094460331 0.000000242184511 0.007440380518679 0.081451173980934 0.053127797360058
0.000000010864256 0.014644776236286 0.016095300290229 0.039924922201002 0.046201030394941 0.000002572289752 0.000008857285125 0.000000912789140 0.000001461728512 0.000943761269172 0.002416646876957 0.000009446441533 0.000024224472614 0.000000094465299 0.000000242250536 0.007445900532556 0.081484661205548 0.053109471662470
0.000000010964782 0.014653907544171 0.016106083183477 0.039918682438730 0.046192569801165 0.000002573259680 0.000008859295639 0.000000912813342 0.000001461929564 0.000943811268772 0.002417310101753 0.000009446942465 0.000024231136754 0.000000094470308 0.000000242317180 0.007451474752249 0.081518463203459 0.053090981481459
0.000000011066238 0.014663127904045 0.016116971948330 0.039912386039294 0.046184033482425 0.000002574238778 0.000008861324757 0.000000912837743 0.000001462132476 0.000943861682381 0.002417979554881 0.000009447447545 0.000024237863487 0.000000094475359 0.000000242384451 0.007457103738471 0.081552582977034 0.053072325388683
0.000000011168632 0.014672438225554 0.016127967679646 0.039906032499420 0.046175420784830 0.000002575227134 0.000008863372650 0.000000912862346 0.000001462337265 0.000943912512951 0.002418655295675 0.000009447956802 0.000024244653408 0.000000094480452 0.000000242452354 0.007462788058251 0.081587023558042 0.053053501944298
0.000000011271975 0.014681839428381 0.016139071484619 0.039899621311571 0.046166731049290 0.000002576224837 0.000008865439491 0.000000912887152 0.000001462543949 0.000943963763440 0.002419337384048 0.000009448470267 0.000024251507119 0.000000094485586 0.000000242520894 0.007468528285011 0.081621788007957 0.053034509696883
0.000000011376273 0.014691332442361 0.016150284482907 0.039893151963918 0.046157963611477 0.000002577231978 0.000008867525457 0.000000912912161 0.000001462752546 0.000944015436820 0.002420025880498 0.000009448987968 0.000024258425229 0.000000094490764 0.000000242590078 0.007474324998650 0.081656879418263 0.053015347183367
0.000000011481536 0.014700918207614 0.016161607806825 0.039886623940309 0.046149117801791 0.000002578248648 0.000008869630724 0.000000912937376 0.000001462963072 0.000944067536075 0.002420720846120 0.000009449509936 0.000024265408351 0.000000094495983 0.000000242659913 0.007480178785626 0.081692300910759 0.052996012928950
0.000000011587774 0.014710597674667 0.016173042601481 0.039880036720234 0.046140192945335 0.000002579274939 0.000008871755471 0.000000912962797 0.000001463175547 0.000944120064198 0.002421422342602 0.000009450036201 0.000024272457107 0.000000094501246 0.000000242730404 0.007486090239038 0.081728055637870 0.052976505447032
0.000000011694994 0.014720371804586 0.016184590024942 0.039873389778793 0.046131188361873 0.000002580310944 0.000008873899878 0.000000912988427 0.000001463389988 0.000944173024195 0.002422130432242 0.000009450566793 0.000024279572121 0.000000094506552 0.000000242801557 0.007492059958712 0.081764146782965 0.052956823239134
