t p_lowerLD p_upperLD p_lowerST p_upperST t_lowerLD t_upperLD t_lowerST t_upperST
0.000000010000000 0.030197362334049 0.055515848062473 0.051294860053588 0.073006327382746 0.000006523188434 0.000008840000000 0.000001852708528 0.000001460000000
0.000000010092529 0.030212990559789 0.055547934975830 0.051286769698670 0.072971558244032 0.000006525183907 0.000008841850577 0.000001852861769 0.000001460185058
0.000000010185914 0.030228770653486 0.055580330659226 0.051278601446369 0.072936509891759 0.000006527197989 0.000008843718278 0.000001853016268 0.000001460371828
0.000000010280163 0.030244704157093 0.055613038189009 0.051270354530477 0.072901180464688 0.000006529230853 0.000008845603260 0.000001853172034 0.000001460560326
0.000000010375284 0.030260792629419 0.055646060673999 0.051262028177147 0.072865568095995 0.000006531282678 0.000008847505683 0.000001853329076 0.000001460750568
0.000000010471285 0.030277037646337 0.055679401255897 0.051253621604815 0.072829670913378 0.000006533353640 0.000008849425710 0.000001853487402 0.000001460942571
0.000000010568175 0.030293440800989 0.055713063109664 0.051245134024133 0.072793487039196 0.000006535443920 0.000008851363502 0.000001853647021 0.000001461136350
0.000000010665961 0.030310003704004 0.055747049443886 0.051236564637891 0.072757014590591 0.000006537553698 0.000008853319224 0.000001853807943 0.000001461331922
0.000000010764652 0.030326727983702 0.055781363501176 0.051227912640942 0.072720251679614 0.000006539683159 0.000008855293043 0.000001853970176 0.000001461529304
0.000000010864256 0.030343615286320 0.055816008558580 0.051219177220126 0.072683196413343 0.000006541832487 0.000008857285125 0.000001854133729 0.000001461728512
0.000000010964782 0.030360667276230 0.055850987927945 0.051210357554197 0.072645846894046 0.000006544001869 0.000008859295639 0.000001854298612 0.000001461929564
0.000000011066238 0.030377885636158 0.055886304956353 0.051201452813746 0.072608201219286 0.000006546191493 0.000008861324757 0.000001854464832 0.000001462132476
0.000000011168632 0.030395272067416 0.055921963026510 0.051192462161121 0.072570257482088 0.000006548401550 0.000008863372650 0.000001854632400 0.000001462337265
0.000000011271975 0.030412828290129 0.055957965557172 0.051183384750352 0.072532013771067 0.000006550632231 0.000008865439491 0.000001854801325 0.000001462543949
0.000000011376273 0.030430556043468 0.055994316003556 0.051174219727072 0.072493468170590 0.000006552883731 0.000008867525457 0.000001854971615 0.000001462752546
0.000000011481536 0.030448457085885 0.056031017857782 0.051164966228442 0.072454618760914 0.000006555156245 0.000008869630724 0.000001855143279 0.000001462963072
0.000000011587774 0.030466533195355 0.056068074649285 0.051155623383066 0.072415463618347 0.000006557449972 0.000008871755471 0.000001855316328 0.000001463175547
0.000000011694994 0.030484786169618 0.056105489945259 0.051146190310917 0.072376000815399 0.000006559765109 0.000008873899878 0.000001855490770 0.000001463389988
0.000000011803206 0.030503217826426 0.056143267351103 0.051136666123255 0.072336228420973 0.000006562101860 0.000008876064127 0.000001855666613 0.000001463606413
0.000000011912420 0.030521830003788 0.056181410510864 0.051127049922544 0.072296144500475 0.000006564460426 0.000008878248402 0.000001855843869 0.000001463824840
0.000000012022644 0.030540624560232 0.056219923107696 0.051117340802378 0.072255747116044 0.000006566841014 0.000008880452887 0.000001856022544 0.000001464045289
0.000000012133889 0.030559603375054 0.056258808864306 0.051107537847391 0.072215034326689 0.000006569243831 0.000008882677770 0.000001856202650 0.000001464267777
0.000000012246162 0.030578768348584 0.056298071543443 0.051097640133183 0.072174004188464 0.000006571669085 0.000008884923240 0.000001856384196 0.000001464492324
0.000000012359474 0.030598121402448 0.056337714948351 0.051087646726233 0.072132654754668 0.000006574116988 0.000008887189487 0.000001856567189 0.000001464718949
0.000000012473835 0.030617664479838 0.056377742923251 0.051077556683819 0.072090984076013 0.000006576587754 0.000008889476703 0.000001856751641 0.000001464947670
0.000000012589254 0.030637399545780 0.056418159353824 0.051067369053931 0.072048990200823 0.000006579081597 0.000008891785082 0.000001856937560 0.000001465178508
0.000000012705741 0.030657328587416 0.056458968167717 0.051057082875194 0.072006671175219 0.000006581598735 0.000008894114821 0.000001857124956 0.000001465411482
0.000000012823306 0.030677453614282 0.056500173335019 0.051046697176777 0.071964025043316 0.000006584139386 0.000008896466117 0.000001857313837 0.000001465646612
0.000000012941958 0.030697776658588 0.056541778868772 0.051036210978313 0.071921049847424 0.000006586703774 0.000008898839168 0.000001857504215 0.000001465883917
0.000000013061709 0.030718299775512 0.056583788825484 0.051025623289816 0.071877743628244 0.000006589292120 0.000008901234178 0.000001857696096 0.000001466123418
0.000000013182567 0.030739025043489 0.056626207305652 0.051014933111589 0.071834104425089 0.000006591904651 0.000008903651348 0.000001857889492 0.000001466365135
0.000000013304544 0.030759954564510 0.056669038454264 0.051004139434146 0.071790130276084 0.000006594541595 0.000008906090884 0.000001858084412 0.000001466609088
0.000000013427650 0.030781090464422 0.056712286461358 0.050993241238120 0.071745819218391 0.000006597203181 0.000008908552992 0.000001858280865 0.000001466855299
0.000000013551894 0.030802434893232 0.056755955562539 0.050982237494182 0.071701169288418 0.000006599889642 0.000008911037882 0.000001858478860 0.000001467103788
0.000000013677288 0.030823990025418 0.056800050039530 0.050971127162952 0.071656178522053 0.000006602601213 0.000008913545765 0.000001858678407 0.000001467354577
0.000000013803843 0.030845758060246 0.056844574220731 0.050959909194912 0.071610844954889 0.000006605338129 0.000008916076853 0.000001858879516 0.000001467607685
0.000000013931568 0.030867741222085 0.056889532481763 0.050948582530320 0.071565166622450 0.000006608100631 0.000008918631361 0.000001859082195 0.000001467863136
0.000000014060475 0.030889941760733 0.056934929246052 0.050937146099121 0.071519141560427 0.000006610888958 0.000008921209505 0.000001859286455 0.000001468120950
