t p_prepLD p_prepST p_lowerLD p_upperLD t_lowerLD t_upperLD
0.000000016904409 0.03 0.015 0.003198698121283 0.003198698121285 0.000003212309990 0.000025814264559
0.000000017060824 0.03 0.015 0.003198698121283 0.003198698121285 0.000003213477837 0.000025823649433
0.000000017218686 0.03 0.015 0.003198698121283 0.003198698121285 0.000003214656491 0.000025833121145
0.000000017378008 0.03 0.015 0.003198698121283 0.003198698121285 0.000003215846050 0.000025842680497
0.000000017538805 0.03 0.015 0.003198698121283 0.003198698121285 0.000003217046617 0.000025852328301
0.000000017701090 0.03 0.015 0.003198698121283 0.003198698121285 0.000003218258292 0.000025862065375
0.000000017864876 0.03 0.015 0.003198698121283 0.003198698121285 0.000003219481178 0.000025871892545
0.000000018030177 0.03 0.015 0.003198698121283 0.003198698121285 0.000003220715380 0.000025881810645
0.000000018197009 0.03 0.015 0.003198698121283 0.003198698121285 0.000003221961001 0.000025891820515
0.000000018365383 0.03 0.015 0.003198698121283 0.003198698121285 0.000003223218149 0.000025901923006
0.000000018535316 0.03 0.015 0.003198698121283 0.003198698121285 0.000003224486928 0.000025912118974
0.000000018706821 0.03 0.015 0.003198698121283 0.003198698121285 0.000003225767448 0.000025922409284
0.000000018879913 0.03 0.015 0.003198698121283 0.003198698121285 0.000003227059816 0.000025932794809
0.000000019054607 0.03 0.015 0.003198698121283 0.003198698121285 0.000003228364142 0.000025943276431
0.000000019230917 0.03 0.015 0.003198698121283 0.003198698121285 0.000003229680536 0.000025953855037
0.000000019408859 0.03 0.015 0.003198698121283 0.003198698121285 0.000003231009112 0.000025964531527
0.000000019588447 0.03 0.015 0.003198698121283 0.003198698121285 0.000003232349980 0.000025975306804
0.000000019769696 0.03 0.015 0.003198698121283 0.003198698121285 0.000003233703255 0.000025986181784
0.000000019952623 0.03 0.015 0.003198698121283 0.003198698121285 0.000003235069052 0.000025997157389
0.000000020137242 0.03 0.015 0.003198698121283 0.003198698121285 0.000003236447487 0.000026008234550
0.000000020323570 0.03 0.015 0.003198698121283 0.003198698121285 0.000003237838676 0.000026019414207
0.000000020511622 0.03 0.015 0.003198698121283 0.003198698121285 0.000003239242738 0.000026030697307
0.000000020701413 0.03 0.015 0.003198698121283 0.003198698121285 0.000003240659791 0.000026042084809
0.000000020892961 0.03 0.015 0.003198698121283 0.003198698121285 0.000003242089956 0.000026053577679
0.000000021086281 0.03 0.015 0.003198698121283 0.003198698121285 0.000003243533354 0.000026065176890
0.000000021281390 0.03 0.015 0.003198698121283 0.003198698121285 0.000003244990108 0.000026076883428
0.000000021478305 0.03 0.015 0.003198698121283 0.003198698121285 0.000003246460341 0.000026088698284
0.000000021677041 0.03 0.015 0.003198698121283 0.003198698121285 0.000003247944178 0.000026100622463
0.000000021877616 0.03 0.015 0.003198698121283 0.003198698121285 0.000003249441744 0.000026112656974
0.000000022080047 0.03 0.015 0.003198698121283 0.003198698121285 0.000003250953168 0.000026124802840
0.000000022284351 0.03 0.015 0.003198698121283 0.003198698121285 0.000003252478576 0.000026137061090
0.000000022490546 0.03 0.015 0.003198698121283 0.003198698121285 0.000003254018099 0.000026149432764
0.000000022698649 0.03 0.015 0.003198698121283 0.003198698121285 0.000003255571867 0.000026161918911
0.000000022908677 0.03 0.015 0.003198698121283 0.003198698121285 0.000003257140012 0.000026174520592
0.000000023120648 0.03 0.015 0.003198698121283 0.003198698121285 0.000003258722666 0.000026187238874
0.000000023334581 0.03 0.015 0.003198698121283 0.003198698121285 0.000003260319965 0.000026200074837
0.000000023550493 0.03 0.015 0.003198698121283 0.003198698121285 0.000003261932044 0.000026213029570
0.000000023768403 0.03 0.015 0.003198698121283 0.003198698121285 0.000003263559038 0.000026226104172
0.000000023988329 0.03 0.015 0.003198698121283 0.003198698121285 0.000003265201088 0.000026239299751
0.000000024210290 0.03 0.015 0.003198698121283 0.003198698121285 0.000003266858330 0.000026252617428
0.000000024434306 0.03 0.015 0.003198698121283 0.003198698121285 0.000003268530908 0.000026266058332
0.000000024660393 0.03 0.015 0.003198698121283 0.003198698121285 0.000003270218961 0.000026279623602
0.000000024888573 0.03 0.015 0.003198698121283 0.003198698121285 0.000003271922634 0.000026293314391
0.000000025118864 0.03 0.015 0.003198698121283 0.003198698121285 0.000003273642070 0.000026307131859
0.000000025351286 0.03 0.015 0.003198698121283 0.003198698121285 0.000003275377416 0.000026321077178
0.000000025585859 0.03 0.015 0.003198698121283 0.003198698121285 0.000003277128820 0.000026335151532
0.000000025822602 0.03 0.015 0.003198698121283 0.003198698121285 0.000003278896429 0.000026349356114
